"","time.list"
"1",15
"2",15
"3",10.067503674408
"4",9.16181717057467
"5",8.87728549020734
"6",6.66334846230929
"7",6.40705286991702
"8",5.64974764620927
"9",5.52702411131052
"10",4.45872920507556
"11",4.3561034645516
"12",4.31872844061997
"13",4.09890008462187
"14",3.47778829303943
"15",2.60007534641517
"16",2.5872848481223
"17",2.37677228966336
"18",2.25942794546602
"19",2.13354670709507
"20",1.75763293501822
"21",1.09378594778278
"22",0.888794767355227
"23",0.247753762443486
"24",0.208707947341408
"25",0.0500096716938696
"26",0
