"","time.list"
"1",15
"2",15
"3",14.2407100435877
"4",13.1581790221998
"5",11.7470545373005
"6",11.0841008772045
"7",10.5898837704155
"8",10.1987455252083
"9",9.7004261016272
"10",8.06790362440898
"11",6.57639999524584
"12",5.62979065818443
"13",4.95302827469574
"14",3.67959220690462
"15",3.07686699785292
"16",2.24911211420562
"17",1.98564032273762
"18",1.77563511045874
"19",1.43609788654197
"20",1.31198360534144
"21",1.13261634182347
"22",1.04327594325565
"23",0.994104333505341
"24",0.468354511160193
"25",0.221164614758138
"26",0.148231001731428
"27",0.117919992340713
"28",0.039283091175907
"29",0.0231847004261372
"30",0
