"","time.list"
"1",15
"2",15
"3",12.0027383502346
"4",7.30636208330428
"5",6.00416017100475
"6",5.77966781095094
"7",5.41406727448192
"8",4.42560626646177
"9",4.04558448675417
"10",3.87657225978164
"11",3.81714713648436
"12",2.82331872470984
"13",2.69260428830982
"14",2.64627230967699
"15",2.37768096690025
"16",2.13893434587029
"17",2.01887934934381
"18",1.9175500330053
"19",1.85304985836142
"20",1.21279980918692
"21",0.915460990722705
"22",0.906206320707891
"23",0.64072571137652
"24",0.485366533957281
"25",0.368677963524128
"26",0.323637734194287
"27",0.222490121994349
"28",0.091060006886579
"29",0.0531095248693383
"30",0.0483090887661692
"31",0
