"","time.list"
"1",15
"2",15
"3",12.0809085852873
"4",11.9386427451037
"5",10.3248738231046
"6",9.72936460253778
"7",9.6780517322758
"8",8.56677335354754
"9",7.62387688122174
"10",7.06372719893389
"11",6.68150413882777
"12",6.21491557725924
"13",5.53417193762874
"14",5.40275042559628
"15",5.31449905084749
"16",4.88500253004185
"17",4.62210201914887
"18",4.14863276986642
"19",4.09662022765702
"20",4.01689261171008
"21",4.01669257287075
"22",3.92283838825062
"23",3.83345247504502
"24",3.72090632881749
"25",3.64284021134
"26",3.55706599460439
"27",3.49622241423894
"28",3.42894673829627
"29",3.34406423026804
"30",3.07291769234082
"31",2.87179318100455
"32",2.64550197699374
"33",2.37617501203168
"34",2.33488611188746
"35",2.21919365916328
"36",2.06055010224601
"37",1.95436513437397
"38",1.94211582986645
"39",1.92845970836595
"40",1.85337387615424
"41",1.82815590344985
"42",1.56278251868807
"43",1.48339780727144
"44",1.23168896980405
"45",1.2213950609341
"46",1.21774100849473
"47",1.19257370409401
"48",1.16524346674707
"49",1.14507061889685
"50",1.14327795985707
"51",1.01672742701071
"52",0.97201704673606
"53",0.948552026545705
"54",0.942601176817435
"55",0.809959170037663
"56",0.746449310625394
"57",0.614968342415663
"58",0.613686837038564
"59",0.602710547290409
"60",0.600557994212366
"61",0.518581410936957
"62",0.502323653589631
"63",0.48403519058453
"64",0.424491348333468
"65",0.406704927862471
"66",0.392242419228213
"67",0.374035778081883
"68",0.170386916582268
"69",0.168321328558893
"70",0.160077254984706
"71",0.148425553005461
"72",0.11632089933547
"73",0.115283595289828
"74",0.0722480776521515
"75",0.014525611565416
"76",0.00556662507389838
"77",0
