"","time.list"
"1",15
"2",15
"3",14.2622283824334
"4",13.6145504475021
"5",13.0469341632836
"6",11.4434053684214
"7",11.2405503880754
"8",11.0411981491198
"9",10.9120279319793
"10",10.2722423573921
"11",10.1610935914742
"12",9.96916848296857
"13",9.79398193013557
"14",9.5005885916335
"15",9.39278884804204
"16",9.04683912328297
"17",8.72043787813461
"18",8.60913923600184
"19",7.408334845866
"20",7.26966432942011
"21",7.17910692072218
"22",6.98194920638742
"23",6.88152709590636
"24",6.78875671321827
"25",6.75944167122053
"26",6.56082355855409
"27",6.51067926640935
"28",6.20924856643503
"29",6.19861222308213
"30",6.16610897956942
"31",6.07790526268318
"32",5.87009957857341
"33",5.85273646078545
"34",5.78074405984882
"35",5.42449568917851
"36",5.37957261010072
"37",5.30911414752262
"38",5.30894008775334
"39",5.22619418638396
"40",5.14760851982244
"41",4.99799563622433
"42",4.87893040703291
"43",4.82226802814424
"44",4.74473274214083
"45",4.65632693744976
"46",4.48505400765779
"47",4.40125647518662
"48",4.3062365166269
"49",3.94100706554724
"50",3.71738707927121
"51",3.70461730106102
"52",3.48732494583752
"53",3.44477800925637
"54",3.38810202508068
"55",3.28340674901441
"56",3.21100455417193
"57",3.04028128339323
"58",3.00578851323756
"59",2.96499196517602
"60",2.84622001828172
"61",2.8058201800152
"62",2.75847162193764
"63",2.75311995163178
"64",2.7074658437708
"65",2.6452089132823
"66",2.50443073295371
"67",2.38228413280217
"68",2.22224737100478
"69",2.2216756502743
"70",2.21416741712083
"71",2.19329230303172
"72",2.150866914729
"73",2.13513293735067
"74",2.03453278779909
"75",1.966188043328
"76",1.96184855354525
"77",1.96112280592679
"78",1.91773516211542
"79",1.90962428536859
"80",1.80109843021681
"81",1.78049199052812
"82",1.69899310250049
"83",1.64807484888498
"84",1.41786356125208
"85",1.35141477069905
"86",1.11864377383377
"87",0.940370463636643
"88",0.450500861776462
"89",0.380445302171736
"90",0.349896769698338
"91",0.319038699214961
"92",0.296096279410758
"93",0.261460911724347
"94",0.223210161359534
"95",0
