"","time.list"
"1",15
"2",15
"3",13.6778520626157
"4",12.3333181110806
"5",12.3057852633252
"6",12.1448777494203
"7",12.0027383502346
"8",11.9130236356808
"9",11.8804530003435
"10",11.8415893854114
"11",11.8374921928249
"12",11.8094547163932
"13",11.7100014068723
"14",11.6552708590455
"15",11.5231133611067
"16",11.2611116739431
"17",11.1249605669172
"18",11.0936266988946
"19",10.9695150318699
"20",10.9331545439925
"21",10.7961835786179
"22",10.6250023128346
"23",10.6016843925338
"24",10.4886776479906
"25",10.3466875732878
"26",10.3218609889636
"27",10.2694255074293
"28",10.2326227057697
"29",10.0240320333635
"30",10.0213159138555
"31",9.86014179180944
"32",9.80966616205613
"33",9.76870412278083
"34",9.73915059003798
"35",9.72818029165185
"36",9.67670422419157
"37",9.64521153933353
"38",9.6444750401283
"39",9.54668141548711
"40",9.42390703681343
"41",9.41620056886622
"42",9.41582511792648
"43",9.38123554263591
"44",9.38018323777328
"45",9.35850684451715
"46",9.3451331908526
"47",9.29335073644721
"48",9.26602209206127
"49",9.257260889867
"50",9.18669267306356
"51",9.16928982733532
"52",9.15272631395382
"53",9.09242939951255
"54",8.90477788050029
"55",8.89535720311551
"56",8.73846734356695
"57",8.69882613926602
"58",8.51797485644843
"59",8.51714783718883
"60",8.50580221738693
"61",8.49201509250151
"62",8.47363709343907
"63",8.40650503350258
"64",8.3922625631536
"65",8.37972829403346
"66",8.35553266028186
"67",8.3412979882967
"68",8.26918293705112
"69",8.26675501440245
"70",8.20045816313736
"71",8.0808486153619
"72",8.07282087601489
"73",8.07139590487356
"74",7.98054953388795
"75",7.96233837566895
"76",7.82930612563937
"77",7.70888271836685
"78",7.65894221378815
"79",7.44405681235531
"80",7.40342239102792
"81",7.35403286244154
"82",7.30636208330428
"83",7.2929415070206
"84",7.29072705214811
"85",7.18437513016026
"86",7.07795344331728
"87",7.00498813535905
"88",6.99892468845797
"89",6.85629237152459
"90",6.78754441309905
"91",6.65707535401342
"92",6.59677963644967
"93",6.45455742514287
"94",6.40085637706227
"95",6.38303920968633
"96",6.36515017353968
"97",6.2357570966447
"98",6.21757031494879
"99",6.00416017100475
"100",5.96163164990039
"101",5.88009006789422
"102",5.86484088654574
"103",5.77966781095094
"104",5.58151984698194
"105",5.47657053373735
"106",5.41739505457406
"107",5.41406727448192
"108",5.38675167591243
"109",5.38160485819245
"110",5.35974703616736
"111",5.19869484780406
"112",5.1637716272175
"113",5.12627149838823
"114",5.12570926779902
"115",5.06281825890347
"116",5.03974757725769
"117",5.00471368904051
"118",4.98999439306559
"119",4.97131916382678
"120",4.94773889782729
"121",4.94509064730848
"122",4.94174212947078
"123",4.9128733832277
"124",4.90621351323482
"125",4.87854397910226
"126",4.87668050197889
"127",4.80783960979256
"128",4.8042112728153
"129",4.79798927157545
"130",4.7868881037681
"131",4.72235472357584
"132",4.58958155785185
"133",4.56910153890398
"134",4.55962756947536
"135",4.5442712235121
"136",4.53847113782098
"137",4.53417419527975
"138",4.52295016596998
"139",4.51737264306342
"140",4.50507365793427
"141",4.49351571430621
"142",4.46227254983006
"143",4.42769919257412
"144",4.42560626646177
"145",4.39276356941193
"146",4.3397463836947
"147",4.24662564627941
"148",4.22603560874372
"149",4.20847857187476
"150",4.20759245231059
"151",4.20516152822584
"152",4.12951180159823
"153",4.08200418634233
"154",4.04558448675417
"155",3.99536067757963
"156",3.97173067126232
"157",3.96447200031367
"158",3.87657225978164
"159",3.86118359276651
"160",3.83046656331764
"161",3.81714713648436
"162",3.73000270755623
"163",3.69636188349667
"164",3.69633662907767
"165",3.69574174729955
"166",3.69248261288214
"167",3.65180925583132
"168",3.5720461927312
"169",3.50160763810358
"170",3.48320385921612
"171",3.47380888242451
"172",3.44030041425479
"173",3.37799587389138
"174",3.37581040874428
"175",3.36080284378685
"176",3.24605598366848
"177",3.24495227233744
"178",3.23581828937036
"179",3.22081367918165
"180",3.20144109748629
"181",3.17994733793896
"182",3.13738543389837
"183",3.10117377405396
"184",3.08490612812541
"185",3.07559877610563
"186",3.06156966696957
"187",3.04580214693545
"188",3.00533441256415
"189",2.99816539266298
"190",2.92787959676936
"191",2.91459400218761
"192",2.8449384068944
"193",2.84057829890032
"194",2.82331872470984
"195",2.74905133610371
"196",2.74231037805629
"197",2.69534209271222
"198",2.69260428830982
"199",2.64627230967699
"200",2.62341063426557
"201",2.59322014947014
"202",2.56298324137363
"203",2.54398590985354
